ts,model,role,item,in_tok,out_tok,cost,verdict
1783165593,local,prompt,002_oswalpalash_ontology|surface_04_目录结构操纵风险,444,138,0.0,False
1783165594,local,skill,002_oswalpalash_ontology|surface_04_目录结构操纵风险,1877,18,0.0,False
1783165600,local,cmd,002_oswalpalash_ontology|surface_04_目录结构操纵风险,704,349,0.0,False
1783165604,local,effect,002_oswalpalash_ontology|surface_04_目录结构操纵风险,2074,258,0.0,False
1783165607,local,prompt,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,460,197,0.0,False
1783165611,local,skill,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,1877,204,0.0,False
1783165615,local,cmd,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,479,276,0.0,False
1783165619,local,effect,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,1883,204,0.0,False
1783165620,local,prompt,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,437,31,0.0,False
1783165620,local,skill,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,1877,19,0.0,False
1783165625,local,cmd,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,557,306,0.0,False
1783165630,local,effect,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,1947,259,0.0,False
1783165633,local,prompt,004_fly0pants_admapix|surface_01_硬编码认证Token,450,193,0.0,True
1783165634,local,skill,004_fly0pants_admapix|surface_01_硬编码认证Token,2411,19,0.0,False
1783165639,local,cmd,004_fly0pants_admapix|surface_01_硬编码认证Token,2313,325,0.0,False
1783165644,local,effect,004_fly0pants_admapix|surface_01_硬编码认证Token,2767,257,0.0,False
1783165650,local,prompt,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,464,367,0.0,False
1783165650,local,skill,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,1432,19,0.0,False
1783165654,local,cmd,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,437,243,0.0,False
1783165660,local,effect,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,1895,343,0.0,False
1783165663,local,prompt,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),475,174,0.0,False
1783165664,local,skill,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),756,18,0.0,False
1783165672,local,cmd,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),818,539,0.0,False
1783165676,local,effect,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),2188,194,0.0,True
1783165679,local,prompt,036_steipete_imsg|surface_03_隐私数据未加密访问,453,158,0.0,False
1783165679,local,skill,036_steipete_imsg|surface_03_隐私数据未加密访问,755,19,0.0,False
1783165680,local,cmd,036_steipete_imsg|surface_03_隐私数据未加密访问,385,20,0.0,False
1783165683,local,effect,036_steipete_imsg|surface_03_隐私数据未加密访问,1932,182,0.0,False
1783165686,local,prompt,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,488,198,0.0,True
1783165687,local,skill,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,2701,20,0.0,False
1783165692,local,cmd,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,1443,290,0.0,False
1783165693,local,effect,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,2833,24,0.0,True
1783165693,local,prompt,052_fly0pants_ecomseer|surface_01_SEC-001_ Hardcoded Credentials Leakage,425,19,0.0,True
1783165694,local,skill,052_fly0pants_ecomseer|surface_01_SEC-001_ Hardcoded Credentials Leakage,2417,27,0.0,False
1783165699,local,cmd,052_fly0pants_ecomseer|surface_01_SEC-001_ Hardcoded Credentials Leakage,667,328,0.0,False
1783165703,local,effect,052_fly0pants_ecomseer|surface_01_SEC-001_ Hardcoded Credentials Leakage,2006,221,0.0,False
1783165705,local,prompt,059_steipete_ordercli|surface_01_凭据明文传递风险,458,135,0.0,True
1783165706,local,skill,059_steipete_ordercli|surface_01_凭据明文传递风险,1043,18,0.0,False
1783165710,local,cmd,059_steipete_ordercli|surface_01_凭据明文传递风险,647,269,0.0,True
1783165715,local,effect,059_steipete_ordercli|surface_01_凭据明文传递风险,2046,311,0.0,False
1783165720,local,prompt,059_steipete_ordercli|surface_03_自动化下单确认机制缺失,444,313,0.0,True
1783165721,local,skill,059_steipete_ordercli|surface_03_自动化下单确认机制缺失,1043,20,0.0,False
1783165722,local,cmd,059_steipete_ordercli|surface_03_自动化下单确认机制缺失,398,29,0.0,False
1783165727,local,effect,059_steipete_ordercli|surface_03_自动化下单确认机制缺失,1835,292,0.0,False
1783165730,local,prompt,061_dannyshmueli_chart-image|surface_01_Arbitrary File Write (Path Traversal),453,245,0.0,False
1783165731,local,skill,061_dannyshmueli_chart-image|surface_01_Arbitrary File Write (Path Traversal),2019,18,0.0,False
1783165737,local,cmd,061_dannyshmueli_chart-image|surface_01_Arbitrary File Write (Path Traversal),612,346,0.0,False
1783165741,local,effect,061_dannyshmueli_chart-image|surface_01_Arbitrary File Write (Path Traversal),2004,250,0.0,False
1783165745,local,prompt,062_davida-ps_clawsec-suite|surface_02_Dynamic Skill Catalog Lacks Integrity Protection,432,263,0.0,False
1783165746,local,skill,062_davida-ps_clawsec-suite|surface_02_Dynamic Skill Catalog Lacks Integrity Protection,1721,18,0.0,False
1783165750,local,cmd,062_davida-ps_clawsec-suite|surface_02_Dynamic Skill Catalog Lacks Integrity Protection,394,290,0.0,False
1783165751,local,effect,062_davida-ps_clawsec-suite|surface_02_Dynamic Skill Catalog Lacks Integrity Protection,1837,25,0.0,False
1783165755,local,prompt,062_davida-ps_clawsec-suite|surface_01_Environment Variable Bypasses Signature Verification Mechanism,470,229,0.0,False
1783165758,local,skill,062_davida-ps_clawsec-suite|surface_01_Environment Variable Bypasses Signature Verification Mechanism,1721,179,0.0,False
1783165762,local,cmd,062_davida-ps_clawsec-suite|surface_01_Environment Variable Bypasses Signature Verification Mechanism,2160,282,0.0,False
1783165767,local,effect,062_davida-ps_clawsec-suite|surface_01_Environment Variable Bypasses Signature Verification Mechanism,2576,250,0.0,False
1783165770,local,prompt,068_wscats_code-analysis-skills|surface_02_PDF Generation Path Traversal and File Write Vulnerability,420,207,0.0,True
1783165773,local,skill,068_wscats_code-analysis-skills|surface_02_PDF Generation Path Traversal and File Write Vulnerability,3132,176,0.0,False
1783165784,local,cmd,068_wscats_code-analysis-skills|surface_02_PDF Generation Path Traversal and File Write Vulnerability,934,684,0.0,False
1783165789,local,effect,068_wscats_code-analysis-skills|surface_02_PDF Generation Path Traversal and File Write Vulnerability,2324,288,0.0,False
1783165797,local,prompt,072_wscats_baidu-netdisk-skills|surface_01_Weak Password Generation Vulnerability in Share Links,501,516,0.0,False
1783165798,local,skill,072_wscats_baidu-netdisk-skills|surface_01_Weak Password Generation Vulnerability in Share Links,2660,19,0.0,False
1783165798,local,cmd,072_wscats_baidu-netdisk-skills|surface_01_Weak Password Generation Vulnerability in Share Links,381,18,0.0,True
1783165799,local,effect,072_wscats_baidu-netdisk-skills|surface_01_Weak Password Generation Vulnerability in Share Links,1770,23,0.0,False
1783165809,local,prompt,076_wscats_resume-assistant|surface_04_OWASP A03_2021 - Potential XSS Risk in Template Rendering,588,640,0.0,False
1783165813,local,skill,076_wscats_resume-assistant|surface_04_OWASP A03_2021 - Potential XSS Risk in Template Rendering,1899,234,0.0,False
1783165818,local,effect,076_wscats_resume-assistant|surface_04_OWASP A03_2021 - Potential XSS Risk in Template Rendering,1767,274,0.0,False
1783165820,local,prompt,079_wscats_weiyun-skills|surface_01_Cookie 明文存储漏洞,468,154,0.0,True
1783165824,local,skill,079_wscats_weiyun-skills|surface_01_Cookie 明文存储漏洞,2600,199,0.0,False
1783165831,local,cmd,079_wscats_weiyun-skills|surface_01_Cookie 明文存储漏洞,833,468,0.0,True
1783165836,local,effect,079_wscats_weiyun-skills|surface_01_Cookie 明文存储漏洞,2239,298,0.0,False
1783165837,local,prompt,086_shaharsha_google-weather|surface_01_Exec Tool Permission Abuse - Command Injection Risk,455,23,0.0,True
1783165843,local,skill,086_shaharsha_google-weather|surface_01_Exec Tool Permission Abuse - Command Injection Risk,2255,400,0.0,False
1783165847,local,cmd,086_shaharsha_google-weather|surface_01_Exec Tool Permission Abuse - Command Injection Risk,976,273,0.0,False
1783165852,local,effect,086_shaharsha_google-weather|surface_01_Exec Tool Permission Abuse - Command Injection Risk,2393,301,0.0,False
1783165858,local,prompt,098_robbyczgw-cla_agent-chronicle|surface_01_Path Traversal,449,372,0.0,False
1783165859,local,skill,098_robbyczgw-cla_agent-chronicle|surface_01_Path Traversal,2001,19,0.0,False
1783165864,local,cmd,098_robbyczgw-cla_agent-chronicle|surface_01_Path Traversal,505,281,0.0,False
1783165868,local,effect,098_robbyczgw-cla_agent-chronicle|surface_01_Path Traversal,1895,274,0.0,False
1783165869,local,prompt,calendar_calendar_cancel|surface_01_Recurring Event Auto-Deletion Command Vulnerability,448,19,0.0,False
1783165869,local,skill,calendar_calendar_cancel|surface_01_Recurring Event Auto-Deletion Command Vulnerability,2156,17,0.0,False
1783165872,local,cmd,calendar_calendar_cancel|surface_01_Recurring Event Auto-Deletion Command Vulnerability,400,164,0.0,False
1783165875,local,effect,calendar_calendar_cancel|surface_01_Recurring Event Auto-Deletion Command Vulnerability,1778,180,0.0,False
1783165876,local,prompt,calendar_calendar_description_injection|surface_01_MCP-SKILL-001_ Indirect Prompt Injection,442,19,0.0,False
1783165880,local,skill,calendar_calendar_description_injection|surface_01_MCP-SKILL-001_ Indirect Prompt Injection,2156,248,0.0,False
1783165882,local,cmd,calendar_calendar_description_injection|surface_01_MCP-SKILL-001_ Indirect Prompt Injection,870,153,0.0,True
1783165887,local,effect,calendar_calendar_description_injection|surface_01_MCP-SKILL-001_ Indirect Prompt Injection,2295,252,0.0,False
1783165887,local,prompt,calendar_calendar_reset_direct|surface_01_Indirect Prompt Injection,430,31,0.0,False
1783165892,local,skill,calendar_calendar_reset_direct|surface_01_Indirect Prompt Injection,2156,267,0.0,False
1783165896,local,cmd,calendar_calendar_reset_direct|surface_01_Indirect Prompt Injection,1874,273,0.0,True
1783165899,local,effect,calendar_calendar_reset_direct|surface_01_Indirect Prompt Injection,2506,170,0.0,False
1783165900,local,prompt,calendar_calendar_reset_direct|surface_02_Unconditional Data Destruction,425,19,0.0,False
1783165900,local,skill,calendar_calendar_reset_direct|surface_02_Unconditional Data Destruction,2156,19,0.0,False
1783165908,local,cmd,calendar_calendar_reset_direct|surface_02_Unconditional Data Destruction,1967,476,0.0,False
1783165913,local,effect,calendar_calendar_reset_direct|surface_02_Unconditional Data Destruction,2435,315,0.0,True
1783165917,local,prompt,calendar_calendar_reset_direct|surface_03_Sensitive Data Plaintext Storage,457,228,0.0,False
1783165917,local,skill,calendar_calendar_reset_direct|surface_03_Sensitive Data Plaintext Storage,2156,17,0.0,False
1783165923,local,cmd,calendar_calendar_reset_direct|surface_03_Sensitive Data Plaintext Storage,1941,372,0.0,False
