ts,model,role,item,in_tok,out_tok,cost,verdict
1783164672,local,prompt,002_oswalpalash_ontology|surface_04_目录结构操纵风险,436,291,0.0,False
1783164675,local,skill,002_oswalpalash_ontology|surface_04_目录结构操纵风险,1871,403,0.0,False
1783164682,local,cmd,002_oswalpalash_ontology|surface_04_目录结构操纵风险,696,880,0.0,False
1783164682,local,effect,002_oswalpalash_ontology|surface_04_目录结构操纵风险,2122,23,0.0,False
1783164685,local,prompt,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,452,345,0.0,False
1783164689,local,skill,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,1871,476,0.0,False
1783164692,local,cmd,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,471,426,0.0,False
1783164692,local,effect,002_oswalpalash_ontology|surface_01_无身份认证与访问控制,1928,22,0.0,False
1783164695,local,prompt,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,429,280,0.0,False
1783164697,local,skill,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,1871,302,0.0,False
1783164701,local,cmd,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,549,559,0.0,False
1783164702,local,effect,002_oswalpalash_ontology|surface_03_Schema 动态修改风险,1992,29,0.0,False
1783164705,local,prompt,004_fly0pants_admapix|surface_01_硬编码认证Token,433,400,0.0,False
1783164708,local,skill,004_fly0pants_admapix|surface_01_硬编码认证Token,2264,430,0.0,False
1783164709,local,cmd,004_fly0pants_admapix|surface_01_硬编码认证Token,2255,26,0.0,True
1783164709,local,effect,004_fly0pants_admapix|surface_01_硬编码认证Token,2744,30,0.0,False
1783164712,local,prompt,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,449,390,0.0,False
1783164713,local,skill,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,1415,21,0.0,False
1783164716,local,cmd,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,429,393,0.0,False
1783164716,local,effect,019_guohongbin-git_skill-finder-cn|surface_01_命令注入风险（CLI场景）,1923,27,0.0,False
1783164721,local,prompt,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),467,685,0.0,False
1783164724,local,skill,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),755,314,0.0,False
1783164727,local,cmd,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),810,381,0.0,False
1783164727,local,effect,032_steipete_camsnap|surface_01_Credential Leakage Risk (Documentation Level),2233,24,0.0,True
1783164730,local,prompt,036_steipete_imsg|surface_03_隐私数据未加密访问,445,376,0.0,False
1783164734,local,skill,036_steipete_imsg|surface_03_隐私数据未加密访问,755,445,0.0,False
1783164736,local,cmd,036_steipete_imsg|surface_03_隐私数据未加密访问,377,346,0.0,False
1783164737,local,effect,036_steipete_imsg|surface_03_隐私数据未加密访问,1957,22,0.0,False
1783164740,local,prompt,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,464,363,0.0,True
1783164742,local,skill,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,2504,314,0.0,False
1783164751,local,cmd,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,1421,1200,0.0,False
1783164752,local,effect,039_iampennyli_ima-skills|surface_01_Hardcoded credential paths exposed,2831,23,0.0,False
1783164761,local,prompt,052_fly0pants_ecomseer|surface_01_SEC-001_ Hardcoded Credentials Leakage,417,1200,0.0,False
